period,accounts,category,amount,month,running_total
05-02-2025,Upi,Food,74,2025-02,133649.32
04-02-2025,Upi,Food,95,2025-02,133575.32
03-02-2025,Upi,Food,1090,2025-02,133480.32
03-02-2025,Cash,Food,42,2025-02,133480.32
03-02-2025,Upi,Social Life,195,2025-02,133480.32
02-02-2025,Upi,Food,279,2025-02,132153.32
01-02-2025,Upi,Rent,11498,2025-02,131874.32
01-02-2025,Upi,Food,25,2025-02,131874.32
01-02-2025,Upi,Household,139,2025-02,131874.32
31-01-2025,Upi,Food,169,2025-01,120212.32
30-01-2025,Cash,Transport,300,2025-01,120043.32
29-01-2025,Upi,Food,105,2025-01,119743.32
28-01-2025,Upi,Food,253,2025-01,119638.32
28-01-2025,Cash,Food,85,2025-01,119638.32
27-01-2025,Upi,Food,35,2025-01,119300.32
26-01-2025,Upi,Transport,200,2025-01,119265.32
26-01-2025,Upi,Food,60,2025-01,119265.32
26-01-2025,Upi,Beauty,1119,2025-01,119265.32
25-01-2025,Upi,Food,120,2025-01,117886.32
25-01-2025,Upi,Food,351,2025-01,117886.32
24-01-2025,Cash,Food,45,2025-01,117415.32
23-01-2025,Upi,Food,52,2025-01,117370.32
22-01-2025,Upi,Food,20,2025-01,117318.32
21-01-2025,Upi,Food,40,2025-01,117298.32
20-01-2025,Upi,Transport,133,2025-01,117258.32
20-01-2025,Upi,Food,27,2025-01,117258.32
20-01-2025,Upi,Social Life,310,2025-01,117258.32
20-01-2025,Upi,Food,45,2025-01,117258.32
19-01-2025,Upi,Recharge,249,2025-01,116743.32
19-01-2025,Upi,Household,491,2025-01,116743.32
19-01-2025,Upi,Gift,500,2025-01,116743.32
18-01-2025,Upi,Social Life,510,2025-01,115503.32
18-01-2025,Upi,Transport,300,2025-01,115503.32
17-01-2025,Upi,Recharge,1271,2025-01,114693.32
16-01-2025,Upi,Food,77,2025-01,113422.32
15-01-2025,Cash,Food,56,2025-01,113345.32
15-01-2025,Cash,Transport,100,2025-01,113345.32
15-01-2025,Upi,Food,37,2025-01,113345.32
14-01-2025,Upi,Food,15,2025-01,113152.32
14-01-2025,Upi,Food,467,2025-01,113152.32
14-01-2025,Upi,Other,45,2025-01,113152.32
13-01-2025,Upi,Other,30,2025-01,112625.32
13-01-2025,Upi,Food,226,2025-01,112625.32
13-01-2025,Upi,Food,25,2025-01,112625.32
13-01-2025,Upi,Food,60,2025-01,112625.32
12-01-2025,Upi,Transport,300,2025-01,112284.32
10-01-2025,Cash,Food,50,2025-01,111984.32
09-01-2025,Cash,Food,57,2025-01,111934.32
08-01-2025,Upi,Food,52,2025-01,111877.32
08-01-2025,Upi,Transport,200,2025-01,111877.32
07-01-2025,Upi,Food,36,2025-01,111625.32
05-01-2025,Upi,Social Life,407,2025-01,111589.32
03-01-2025,Cash,Food,42,2025-01,111182.32
03-01-2025,Upi,Transport,400,2025-01,111182.32
02-01-2025,Upi,Food,35,2025-01,110740.32
01-01-2025,Upi,Rent,11517,2025-01,110705.32
01-01-2025,Upi,Food,180,2025-01,110705.32
01-01-2025,Upi,Apparel,608.5,2025-01,110705.32
31-12-2024,Upi,Food,43,2024-12,98399.82
30-12-2024,Cash,Food,43,2024-12,98356.82
30-12-2024,Upi,Recharge,509,2024-12,98356.82
26-12-2024,Upi,Food,27,2024-12,97804.82
25-12-2024,Upi,Transport,300,2024-12,97777.82
25-12-2024,Upi,Food,606,2024-12,97777.82
24-12-2024,Upi,Food,42,2024-12,96871.82
23-12-2024,Upi,Food,43,2024-12,96829.82
23-12-2024,Upi,Food,105,2024-12,96829.82
23-12-2024,Upi,Transport,300,2024-12,96829.82
22-12-2024,Upi,Social Life,99,2024-12,96381.82
22-12-2024,Upi,Transport,259,2024-12,96381.82
22-12-2024,Upi,Food,185,2024-12,96381.82
21-12-2024,Upi,Recharge,249,2024-12,95838.82
20-12-2024,Upi,Food,42,2024-12,95589.82
19-12-2024,Upi,Food,53,2024-12,95547.82
18-12-2024,Upi,Social Life,90,2024-12,95494.82
18-12-2024,Upi,Food,119,2024-12,95494.82
18-12-2024,Upi,Food,60,2024-12,95494.82
17-12-2024,Upi,Food,79,2024-12,95225.82
17-12-2024,Upi,Food,303,2024-12,95225.82
16-12-2024,Upi,Social Life,277,2024-12,94843.82
16-12-2024,Upi,Apparel,152,2024-12,94843.82
15-12-2024,Upi,Transport,300,2024-12,94414.82
14-12-2024,Upi,Beauty,842,2024-12,94114.82
12-12-2024,Upi,Food,27,2024-12,93272.82
12-12-2024,Cash,Food,100,2024-12,93272.82
11-12-2024,Upi,Food,53,2024-12,93145.82
10-12-2024,Upi,Apparel,498,2024-12,93092.82
10-12-2024,Upi,Food,35,2024-12,93092.82
10-12-2024,Upi,Apparel,394,2024-12,93092.82
09-12-2024,Upi,Food,27,2024-12,92165.82
07-12-2024,Upi,Food,1260,2024-12,92138.82
06-12-2024,Upi,Food,26,2024-12,90878.82
05-12-2024,Upi,Food,27,2024-12,90852.82
05-12-2024,Upi,Food,245,2024-12,90852.82
04-12-2024,Upi,Food,56,2024-12,90580.82
03-12-2024,Upi,Food,56,2024-12,90524.82
02-12-2024,Upi,Transport,300,2024-12,90468.82
02-12-2024,Upi,Food,426,2024-12,90468.82
02-12-2024,Upi,Rent,239,2024-12,90468.82
02-12-2024,Upi,Food,32,2024-12,90468.82
01-12-2024,Upi,Recharge,220,2024-12,89471.82
01-12-2024,Upi,Rent,11400,2024-12,89471.82
29-11-2024,Upi,Food,41,2024-11,77851.82
27-11-2024,Upi,Food,42,2024-11,77810.82
27-11-2024,Upi,Food,340,2024-11,77810.82
27-11-2024,Upi,Food,40,2024-11,77810.82
25-11-2024,Upi,Transport,300,2024-11,77388.82
25-11-2024,Upi,Food,25,2024-11,77388.82
24-11-2024,Upi,Recharge,249,2024-11,77063.82
22-11-2024,Upi,Other,299,2024-11,76814.82
21-11-2024,Upi,Food,100,2024-11,76515.82
21-11-2024,Upi,Food,39,2024-11,76515.82
21-11-2024,Upi,Apparel,899,2024-11,76515.82
20-11-2024,Upi,Food,200,2024-11,75477.82
20-11-2024,Upi,Food,20,2024-11,75477.82
19-11-2024,Upi,Food,55,2024-11,75257.82
18-11-2024,Upi,Food,71,2024-11,75202.82
17-11-2024,Cash,Other,100,2024-11,75131.82
15-11-2024,Upi,Food,30,2024-11,75031.82
15-11-2024,Upi,Food,213,2024-11,75031.82
14-11-2024,Upi,Transport,200,2024-11,74788.82
12-11-2024,Cash,Food,48,2024-11,74588.82
11-11-2024,Upi,Recharge,220,2024-11,74540.82
09-11-2024,Upi,Transport,200,2024-11,74320.82
09-11-2024,Upi,Social Life,400,2024-11,74320.82
09-11-2024,Upi,Food,400,2024-11,74320.82
08-11-2024,Upi,Food,39,2024-11,73320.82
07-11-2024,Upi,Recharge,666,2024-11,73281.82
07-11-2024,Cash,Food,32,2024-11,73281.82
07-11-2024,Upi,Recharge,666,2024-11,73281.82
06-11-2024,Cash,Food,56,2024-11,71917.82
05-11-2024,Upi,Other,169,2024-11,71861.82
05-11-2024,Upi,Food,759,2024-11,71861.82
04-11-2024,Upi,Food,33,2024-11,70933.82
03-11-2024,Upi,Food,108,2024-11,70900.82
02-11-2024,Upi,Rent,11400,2024-11,70792.82
02-11-2024,Upi,Household,293,2024-11,70792.82
01-11-2024,Upi,Food,140,2024-11,59099.82
01-11-2024,Upi,Transport,881,2024-11,59099.82
01-11-2024,Upi,Food,140,2024-11,59099.82
31-10-2024,Upi,Social Life,263,2024-10,57938.82
31-10-2024,Upi,Food,25,2024-10,57938.82
29-10-2024,Upi,Food,152,2024-10,57650.82
28-10-2024,Upi,Food,15,2024-10,57498.82
27-10-2024,Upi,Transport,300,2024-10,57483.82
26-10-2024,Upi,Social Life,568,2024-10,57183.82
24-10-2024,Upi,Apparel,810,2024-10,56615.82
24-10-2024,Cash,Food,20,2024-10,56615.82
23-10-2024,Upi,Food,22,2024-10,55785.82
22-10-2024,Cash,Food,77,2024-10,55763.82
20-10-2024,Upi,Household,350,2024-10,55686.82
19-10-2024,Upi,Food,300,2024-10,55336.82
18-10-2024,Upi,Recharge,690.82,2024-10,55036.82
17-10-2024,Cash,Food,40,2024-10,54346
17-10-2024,Cash,Food,200,2024-10,54346
17-10-2024,Cash,Household,240,2024-10,54346
15-10-2024,Upi,Food,20,2024-10,53866
15-10-2024,Cash,Health,89,2024-10,53866
09-10-2024,Upi,Food,40,2024-10,53757
08-10-2024,Upi,Food,37,2024-10,53717
08-10-2024,Upi,Transport,300,2024-10,53717
08-10-2024,Upi,Household,861,2024-10,53717
08-10-2024,Upi,Food,399,2024-10,53717
08-10-2024,Cash,Household,1200,2024-10,53717
07-10-2024,Upi,Food,15,2024-10,50920
07-10-2024,Upi,Food,35,2024-10,50920
06-10-2024,Cash,Food,288,2024-10,50870
06-10-2024,Upi,Household,455,2024-10,50870
06-10-2024,Cash,Transport,65,2024-10,50870
05-10-2024,Cash,Food,20,2024-10,50062
05-10-2024,Cash,Other,100,2024-10,50062
05-10-2024,Upi,Food,180,2024-10,50062
05-10-2024,Upi,Rent,400,2024-10,50062
05-10-2024,Cash,Transport,62,2024-10,50062
04-10-2024,Cash,Food,100,2024-10,49300
04-10-2024,Cash,Transport,200,2024-10,49300
04-10-2024,Upi,Recharge,3000,2024-10,49300
02-10-2024,Upi,Rent,46000,2024-10,46000
